#---Properties and values from: http://dbpedia.org/resource/Leipzig
Property	Value
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Wolfram_Sperling
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Johann_Karl_Burckhardt
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Hanns_Kreisel
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Carl-Dieter_Spranger
http://dbpedia.org/ontology/wikiPageRedirects	http://dbpedia.org/resource/Knauthain
http://dbpedia.org/property/stadium	http://dbpedia.org/resource/1948_Ostzonenmeisterschaft
http://dbpedia.org/property/borough	http://dbpedia.org/resource/Leipzig_Wilhelm-Leuschner-Platz_railway_station
http://dbpedia.org/property/stadium	http://dbpedia.org/resource/UEFA_Euro_1976_qualifying_Group_7
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/David_Kellner
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Johannes_Overbeck
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Gustav_Fechner
http://dbpedia.org/property/caption	http://dbpedia.org/resource/Easter_Oratorio
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Hans_Meyer_(geologist)
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Arnold_Rieck
http://dbpedia.org/property/location	http://dbpedia.org/resource/2016–17_Borussia_Mönchengladbach_season
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Otto_von_Böhtlingk
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Hermann_Masius
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Norbert_Bisky
http://dbpedia.org/property/city	http://dbpedia.org/resource/2005_Men's_EuroHockey_Nations_Championship
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Johann_Schein
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Felix_Dreyschock
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Oskar_Lenz
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Bernhard_Christoph_Breitkopf
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/August_Leskien
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Gabriele_Hess
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Rudolf_Seydel
http://dbpedia.org/property/grossstädte	http://dbpedia.org/resource/Pleiße
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Annemarie_Renger
http://dbpedia.org/ontology/assembly	http://dbpedia.org/resource/BMW_3_Series_(E90)
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Carl_Chun
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Karl_Zuchardt
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Marie_Wieck
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Paul_Morawitz
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Tobias_Schellenberg
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Sebastian_Albert
http://dbpedia.org/property/t	http://dbpedia.org/resource/1955–58_Inter-Cities_Fairs_Cup
http://dbpedia.org/property/stadium	http://dbpedia.org/resource/1955–58_Inter-Cities_Fairs_Cup
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Udo_Quellmalz
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Carl_Gustav_Carus
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Maria_Margarethe_Kirch
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Rudolf_Hildebrand
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Rudolf_Hildebrand
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Rudolf_von_Gottschall
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Rudolf_Körner
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Heinrich_von_Morungen
http://dbpedia.org/ontology/birthPlace	http://dbpedia.org/resource/Rudolf_Hirzel
http://dbpedia.org/ontology/deathPlace	http://dbpedia.org/resource/Eugen_Ray
http://dbpedia.org/property/lonMin	23^^http://www.w3.org/2001/XMLSchema#integer
http://dbpedia.org/ontology/wikiPageExternalLink	http://english.leipzig.de/
http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://dbpedia.org/class/yago/GeographicalArea108574314
http://xmlns.com/foaf/0.1/homepage	http://www.leipzig.de/
http://dbpedia.org/property/decHighC	3.6000000000000000888^^http://www.w3.org/2001/XMLSchema#decimal
http://dbpedia.org/property/augSun	213.09999999999999432^^http://www.w3.org/2001/XMLSchema#decimal
http://dbpedia.org/ontology/wikiPageExternalLink	http://ubi-leipzig.de/
http://dbpedia.org/ontology/wikiPageExternalLink	http://www.lostinleipzig.com/
http://dbpedia.org/ontology/abstract	Lípsia (em alemão: Leipzig, IPA: [ˈlaɪ̯pt͡sɪç]) ouça) é uma cidade independente (em alemão: kreisfreie Stadt) do estado da Saxónia na Alemanha, sede da região administrativa homónima. Localiza-se no leste do país. Com mais de 544 mil habitantes, é a maior cidade da Saxónia. É parte do Triângulo saxão, a região metropolitana que também inclui Halle e Dresden. Tem origem num antigo povoado eslavo de nome Lipsk.@pt
http://dbpedia.org/property/febRecordHighC	18.600000000000001421^^http://www.w3.org/2001/XMLSchema#decimal
http://dbpedia.org/property/decRecordHighC	16.5^^http://www.w3.org/2001/XMLSchema#decimal
http://dbpedia.org/property/decMeanC	1.3000000000000000444^^http://www.w3.org/2001/XMLSchema#decimal
http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://umbel.org/umbel/rc/Location_Underspecified
http://dbpedia.org/property/marLowC	1.1000000000000000888^^http://www.w3.org/2001/XMLSchema#decimal
http://www.w3.org/2002/07/owl#sameAs	http://wikidata.dbpedia.org/resource/Q2079
http://dbpedia.org/property/aprSun	181.69999999999998863^^http://www.w3.org/2001/XMLSchema#decimal
http://www.w3.org/2000/01/rdf-schema#comment	Lipsk (niem. Leipzig; górnołuż. Lipsk; czes. Lipsko; łac. Lipsia) – miasto na prawach powiatu, najliczniejszy ośrodek Saksonii i drugi, po Berlinie, Niemiec wschodnich. Miasto należy do aglomeracji Lipsk-Halle, która liczy ok. 996 100 mieszkańców (2009). Lipsk to duży ośrodek przemysłowy, jedno z ważniejszych centrów handlu (Targi Lipskie), ośrodek kultury i nauki z kilkusetletnią tradycją. Najmniej zniszczone w czasie II wojny światowej spośród wielkich metropolii niemieckich posiada najlepiej w całym kraju zachowany zespół dzielnic XIX- i XX-wiecznych.@pl
http://dbpedia.org/ontology/wikiPageExternalLink	http://www.leipzig.de/
http://dbpedia.org/property/febRecordLowC	-21.600000000000001421^^http://www.w3.org/2001/XMLSchema#decimal
http://www.w3.org/2002/07/owl#sameAs	http://ko.dbpedia.org/resource/라이프치히
http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://dbpedia.org/class/yago/WikicatUniversityTownsInGermany
http://purl.org/dc/terms/subject	http://dbpedia.org/resource/Category:Leipzig
http://www.w3.org/2000/01/rdf-schema#comment	Leipzig (/ˈlaɪpsɪɡ/; German: [ˈlaɪptsɪç] ) is the largest city in the federal state of Saxony, Germany. With a population of 570,087 inhabitants (1,001,220 residents in the larger urban zone) it is Germany's tenth most populous city. Leipzig is located about 160 kilometers (99 miles) southwest of Berlin at the confluence of the White Elster, Pleisse, and Parthe rivers at the southern end of the North German Plain.@en
http://dbpedia.org/property/aprRecordLowC	-6.5^^http://www.w3.org/2001/XMLSchema#decimal
http://www.w3.org/2002/07/owl#sameAs	http://el.dbpedia.org/resource/Λειψία
http://dbpedia.org/property/augHighC	24.100000000000001421^^http://www.w3.org/2001/XMLSchema#decimal
http://dbpedia.org/property/latMin	20^^http://www.w3.org/2001/XMLSchema#integer
http://dbpedia.org/property/janPrecipitationMm	31.899999999999998579^^http://www.w3.org/2001/XMLSchema#decimal
http://dbpedia.org/property/junLowC	11.5^^http://www.w3.org/2001/XMLSchema#decimal
http://dbpedia.org/property/sepMeanC	14.400000000000000355^^http://www.w3.org/2001/XMLSchema#decimal
http://www.w3.org/2000/01/rdf-schema#comment	ライプツィヒ（ドイツ語: Leipzig.ogg Leipzig）は、ザクセン州に属するドイツの都市である。人口は約52万1千人（2012年12月現在）、ザクセン州では州都ドレスデンをやや上回って最大の都市で、旧東ドイツ地域ではベルリンに次いで2番目である。日本語ではライプチヒとも表記される（参照）。南部ドイツ語ではライプツィクと発音されることもある。 バッハやメンデルスゾーンらゆかりのドイツを代表する音楽の街、またベルリンの壁崩壊、ひいては東西両ドイツの統一の端緒となった住民運動の発祥地として知られる。@ja
http://dbpedia.org/property/marRecordLowC	-16.600000000000001421^^http://www.w3.org/2001/XMLSchema#decimal
http://dbpedia.org/property/center	Leipzig^^http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
