"EntityType"	"totalSameAs"
"http://dbpedia.org/class/yago/General110123844"	114616
"http://dbpedia.org/class/yago/Coach109931640"	114430
"http://dbpedia.org/ontology/Mammal"	114233
"http://dbpedia.org/class/yago/Screenwriter110564400"	114088
"http://dbpedia.org/class/yago/Scriptwriter110564905"	114088
"http://dbpedia.org/class/yago/Legislator110253995"	112951
"http://dbpedia.org/class/yago/Lawgiver110249270"	112951
"http://dbpedia.org/class/yago/Rival110533013"	112038
"http://dbpedia.org/class/yago/Forward110105733"	111721
"http://dbpedia.org/class/yago/Creativity105624700"	111717
"http://dbpedia.org/ontology/GridironFootballPlayer"	110271
"http://www.wikidata.org/entity/Q14128148"	110013
"http://dbpedia.org/class/yago/University108286569"	109849
"http://dbpedia.org/class/yago/MedicalPractitioner110305802"	109791
"http://dbpedia.org/class/yago/Beginning100235435"	109654
"http://dbpedia.org/class/yago/Island109316454"	109379
"http://dbpedia.org/class/yago/Introduction100238022"	109215
"http://dbpedia.org/ontology/Royalty"	109085
"http://dbpedia.org/class/yago/MilitaryUnit108198398"	108926
"http://dbpedia.org/class/yago/SoccerPlayer110618342"	108303
"http://dbpedia.org/class/yago/Doctor110020890"	107460
"http://dbpedia.org/ontology/BaseballPlayer"	107419
"http://dbpedia.org/class/yago/Combatant109939313"	106596
"http://dbpedia.org/class/yago/Fiction106367107"	106412
"http://dbpedia.org/class/yago/NaturalObject100019128"	105526
"http://dbpedia.org/class/yago/Happening107283608"	105265
"http://dbpedia.org/class/yago/Diplomat110013927"	105259
"http://umbel.org/umbel/rc/Artist"	104623
"http://dbpedia.org/class/yago/WikicatFrenchPeople"	103720
"http://dbpedia.org/class/yago/WikicatAmericanActors"	103709
"http://dbpedia.org/class/yago/Conflict100958896"	103494
"http://www.wikidata.org/entity/Q10871364"	103489
"http://dbpedia.org/class/yago/Imagination105625465"	103143
"http://dbpedia.org/class/yago/ImaginaryBeing109483738"	102866
"http://dbpedia.org/ontology/Airport"	102680
"http://dbpedia.org/ontology/Cleric"	102680
"http://schema.org/CollegeOrUniversity"	102286
"http://umbel.org/umbel/rc/Location_Underspecified"	102008
"http://dbpedia.org/class/yago/President110467179"	101933
"http://dbpedia.org/class/yago/SocialScientist110619642"	101810
"http://www.wikidata.org/entity/Q3918"	101533
"http://www.wikidata.org/entity/Q34442"	101019
"http://dbpedia.org/ontology/IceHockeyPlayer"	100557
"http://dbpedia.org/class/yago/Career100583246"	100389
"http://dbpedia.org/class/yago/Game100430606"	100131
"http://dbpedia.org/class/yago/WikicatBlack-and-whiteFilms"	99698
"http://schema.org/Mountain"	99393
"http://www.wikidata.org/entity/Q8502"	99393
"http://dbpedia.org/class/yago/Militant110315837"	99320
"http://dbpedia.org/class/yago/ComputerGame100458890"	99296
"http://dbpedia.org/class/yago/Bird101503061"	98335
"http://dbpedia.org/class/yago/Airfield102687992"	98250
"http://dbpedia.org/class/yago/OrganicCompound114727670"	98198
"http://umbel.org/umbel/rc/City"	98191
"http://dbpedia.org/class/yago/MotorVehicle103791235"	97914
"http://dbpedia.org/class/yago/Vote100182213"	97592
"http://dbpedia.org/class/yago/Church103028079"	97083
"http://dbpedia.org/ontology/AmericanFootballPlayer"	96253
"http://dbpedia.org/class/yago/Airport102692232"	95838
"http://dbpedia.org/class/yago/MilitaryAction100952963"	95620
"http://dbpedia.org/ontology/ChemicalCompound"	95616
"http://dbpedia.org/class/yago/Mammal101861778"	95468
"http://dbpedia.org/ontology/HistoricPlace"	95169
"http://dbpedia.org/class/yago/Scene108645963"	95052
"http://dbpedia.org/class/yago/Kind105839024"	94953
"http://dbpedia.org/class/yago/Category105838765"	94953
"http://dbpedia.org/class/yago/Venue108677628"	94932
"http://dbpedia.org/class/yago/Adjudicator109769636"	94925
"http://schema.org/Airport"	94035
"http://www.wikidata.org/entity/Q1248784"	94035
"http://dbpedia.org/class/yago/Election100181781"	93543
